"Ebene";"OE";"Art";"FB";"Menge";"Verfügbar";"Menge Ist";"Ausstattung | Hersteller | Typ";"Sachnummer";"Inventar Nr";"Gerätenr.";"Status"
;"OV Illingen";"";"";"";"";"";"1. Technischer Zug/Bergungsgruppe 1";"";"";"";"V"
1;"";"";"";"";"";"";"Geringwertiges Material";"";"";"";"V"
1;"";"Pos";"";"1";"1";"";"Gerätekraftwagen I (GKW I) Typ II (SE)";"2320T22002";"";"";"V"
2;"";"Satz";"";"1";"1";"";"  Gerätekraftwagen I (GKW 72)  (SE)";"2320T22999";"0758-S000365";"87171";"A"
3;"";"Satz";"";"1";"1";"";"    Einbausatz Sonder-Fzg (SE)";"2320T22120";"0758-S000367";" ";"A"
4;"";"Satz";"";"1";"1";"";"      Sondersignalausstattung II (SE)";"2320T22121";"0758-S000368";" ";"A"
5;"";"Gwm";"";"2 ";"2";"2";"        Rundumkennleuchten, fest montiert, 24 V";"6350T22425";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Rundumkennleuchten, blau, abnehmbar";"6350T22426";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Tonfolgeanlage gem. DIN 14 610";"6350T22428";"---------------";"--------------------";"A"
4;"";"Teil";"";"1";"1";"";"      Standheizung Kfz";"2540T21180";"0758-000371";" ";"A"
4;"";"Satz";"";"1";"0";"";"      Funkgerätesatz, digital, MRT, kompakt (SE)";"5820T00005";"";"";"F, A"
5;"";"Teil";"";"1";"0";"";"        Funkgerät, MRT, Kompaktversion";"5820T00015";"";"";"F, A"
5;"";"Teil";"";"1";"0";"";"        BOS Sicherheitskarte";"7025T00031";"";"";"F, A"
5;"";"Gwm";"";"0 ";"0";"1";"        Bedienungsanleitung, Kurz, Digitalfunk (MTM 800 FuG)";"7690T00003";"---------------";"--------------------";"F, A"
4;"";"Satz";"";"1";"1";"";"      Funkvorbereitung Digital (SE)";"5820T21312";"0758-S000469";"";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Sicherungskasten (Kfz-Funkvorrüstung)";"5140T00327";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Antennenweiche";"5895T00018";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Antenne, Mehrbereichsfahrzeugantenne 2m/4m/TETRA/GPS";"5985T00002";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Antennenkabel RG 223";"5995T00001";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Antennenkabel für GPS";"5995T00012";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Batterieanschlussleitung (Funkgerät)";"6150T11206";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Lautsprecher  Funkgerät";"7730T00004";"---------------";"--------------------";"A"
4;"";"Satz";"";"1";"1";"";"      Funkvorbereitung 4m-Band (SE)";"5820T21316";"0758-S000372";" ";"A"
5;"";"Satz";"";"1";"1";"";"        Zubehör Funkvorbereitung (SE)";"5820T21352";"0758-S000473";"";"A"
6;"";"Teil";"";"1";"0";"";"          Zweitbesprecheinrichtung Funk";"5820T11180";"";"";"F, A"
6;"";"Gwm";"";"1 ";"1";"1";"          Sicherungskasten (Kfz-Funkvorrüstung)";"5140T00327";"---------------";"--------------------";"A"
6;"";"Gwm";"";"1 ";"1";"1";"          Kfz-Sicherung";"5920T00326";"---------------";"--------------------";"A"
6;"";"Gwm";"";"1 ";"1";"1";"          Spannungswandler 24/12V (Kfz-Funkvorrüstung)";"6130T00001";"---------------";"--------------------";"A"
6;"";"Gwm";"";"1 ";"1";"1";"          Hochfrequenzkabel, RG 213 U (Kfz-Funkvorrüstung)";"6145T00370";"---------------";"--------------------";"A"
6;"";"Gwm";"";"1 ";"1";"1";"          Batterieanschlussleitung (Funkgerät)";"6150T11206";"---------------";"--------------------";"A"
6;"";"Gwm";"";"1 ";"1";"1";"          Lautsprecher  Funkgerät";"7730T00004";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Antenne, Fahrzeugantenne 4m";"5985T00354";"---------------";"--------------------";"A"
4;"";"Teil";"";"1";"1";"";"      Batterieladung- und Erhalteeinrichtung | NN | NN (s. Beschreibung)";"6130T21365";"0758-000450";"";"A"
4;"";"Gwm";"";"2 ";"2";"2";"      Arbeitsstellenscheinwerfer 24 V";"6220T22391";"---------------";"--------------------";"A"
4;"";"Gwm";"";"2 ";"2";"2";"      Manövrierscheinwerfer (für Außenspiegel)";"6220T22396";"---------------";"--------------------";"A"
3;"";"Teil";"";"1";"1";"";"    Fahrgestell LKW  7 t Dreifachfahrerhaus, allrad. | IVECO | 120-23 AW";"2320T22127";"0758-000366";"4123704";"A"
3;"";"Satz";"";"1";"1";"";"    Zubehörsatz GKW I (SE)";"2320T22130";"0758-S000369";" ";"A"
4;"";"Satz";"";"1";"0";"";"      Gleitschutzkette, Schwer (SE)";"2540T00015";"";"";"F, A"
5;"";"Teil";"";"1";"0";"";"        Gleitschutzkette, Schwer";"2540T00010";"";"";"F, A"
5;"";"Teil";"";"1";"0";"";"        Gleitschutzkette, Schwer";"2540T00010";"";"";"F, A"
5;"";"Teil";"";"1";"0";"";"        Gleitschutzkette, Schwer";"2540T00010";"";"";"F, A"
5;"";"Teil";"";"1";"0";"";"        Gleitschutzkette, Schwer";"2540T00010";"";"";"F, A"
4;"";"Satz";"";"1";"1";"";"      Feuerlöscher 12 kg  ADR, Brandklasse ABC (SE)";"4210T30351";"0758-S000378";" ";"ÜB, A"
5;"";"Teil";"";"1";"1";"";"        Feuerlöscher 12 kg, Brandklasse ABC, ADR | GLORIA | P12";"4210T22395";"0758-000379";" ";"ÜB, A"
5;"";"Gwm";"";"1 ";"1";"1";"        Halterung Feuerlöscher 12 kg";"4210T24397";"---------------";"--------------------";"ÜB, A"
4;"";"Satz";"";"1";"0";"";"      Feuerlöscher  6 kg, Brandklasse ABC (SE)";"4210T30360";"";"";"F, A"
5;"";"Teil";"";"1";"0";"";"        Feuerlöscher  6 kg, Brandklasse ABC";"4210T21391";"";"";"F, A"
5;"";"Gwm";"";"0 ";"0";"1";"        Halterung Feuerlöscher  6 kg";"4210T21396";"---------------";"--------------------";"F, A"
4;"";"Satz";"";"1";"0";"";"      Feuerlöscher  6 kg, Brandklasse ABC (SE)";"4210T30360";"";"";"F, A"
5;"";"Teil";"";"1";"0";"";"        Feuerlöscher  6 kg, Brandklasse ABC";"4210T21391";"";"";"F, A"
5;"";"Gwm";"";"0 ";"0";"1";"        Halterung Feuerlöscher  6 kg";"4210T21396";"---------------";"--------------------";"F, A"
4;"";"Teil";"";"1";"1";"";"      Wagenheber hydraulisch, 10 t | IVECO | NN (s. Beschreibung)";"5130T22939";"0758-000380";"9910029585";"A"
4;"";"Teil";"";"1";"1";"";"      Tankkarte | DKV | NN";"9999T90500";"0758-000381";"00202";"A"
4;"";"Gwm";"";"2 ";"2";"2";"      Abgasschlauch 2,5 m lang nach DIN 14572";"2320T22131";"---------------";"--------------------";"A"
4;"";"Gwm";"";"2 ";"2";"2";"      Unterlegkeil nach DIN 76051, versch. Größen, Kunststoff";"2540T22183";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Ersatzrad (Reserverad), komplett";"2610T21190";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Druckluftverbindungsschlauch, 3 m lang,";"4720T22503";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Reifenfüllschlauch, ca. 6m lg; beiderseits Anschluss M16x1,5";"4720T22603";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Radkreuz für LKW, zusammenlegbar";"5120T31771";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Bordwerkzeug, modellgebunden;";"5180T21984";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Unterlegklotz (hydr. Wagenheber 10 t- 12 t)";"5510T22310";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Ersatzglühlampen und Sicherungen,";"5920T32324";"---------------";"--------------------";"A"
3;"";"Teil";"";"1";"1";"";"    Kofferaufbau GKW I | NN | NN (s. Beschreibung)";"2510T22148";"0758-000373";" ";"A"
3;"";"Satz";"";"1";"1";"";"    Bordausstattung, LKW über 3,5 t zGG (SE)";"2540T22401";"0758-S000375";" ";"A"
4;"";"Satz";"";"1";"0";"";"      Handweitleuchte LKW (SE)";"6230T00011";"";"";"F, A"
5;"";"Teil";"";"1";"0";"";"        Handweitleuchte, LKW";"6230T00012";"";"";"F, A"
5;"";"Gwm";"";"0 ";"0";"1";"        Lade-Adapter für Kfz-Anschluß";"6130T21610";"---------------";"--------------------";"F, A"
5;"";"Gwm";"";"0 ";"0";"3";"        Vorsatzscheiben, verschiedene Farben";"6230T11401";"---------------";"--------------------";"F, A"
4;"";"Satz";"";"1";"0";"";"      Handweitleuchte LKW (SE)";"6230T00011";"";"";"F, A"
5;"";"Teil";"";"1";"0";"";"        Handweitleuchte, LKW";"6230T00012";"";"";"F, A"
5;"";"Gwm";"";"0 ";"0";"1";"        Lade-Adapter für Kfz-Anschluß";"6130T21610";"---------------";"--------------------";"F, A"
5;"";"Gwm";"";"0 ";"0";"3";"        Vorsatzscheiben, verschiedene Farben";"6230T11401";"---------------";"--------------------";"F, A"
4;"";"Satz";"";"1";"1";"";"      Flaggensatz in  Aufbewahrungstasche (SE)";"8345T21754";"0758-S000376";" ";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Flaggen- Aufbewahrungstasche";"8105T21759";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Flagge zur Kfz-Kennzeichnung; rot";"8345T21756";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Flagge zur Kfz-Kennzeichnung; blau";"8345T21757";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Flagge zur Kfz-Kennzeichnung; grün";"8345T21758";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Flagge zur Kfz-Kennzeichnung; gelb";"8345T21759";"---------------";"--------------------";"A"
4;"";"Satz";"";"1";"1";"";"      Umweltschutzausstattung (SE)";"9999T31840";"0758-S000377";" ";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Fensterleder, handelsüblich";"7920T21664";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Handfeger";"7920T22667";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Plastikentsorgungsbeutel, 20 l";"8105T21694";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Ölbindetücher";"9390T21816";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Abschleppstange mit Zugöse";"2540T22167";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Sperrbalkenschlüssel";"4210T22113";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Klauenbeil 900 g, Beilstiel 350 mm";"5110T32584";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Kreuzhacke, 3 kg, mit Stiel 800 mm lg";"5120T00740";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spaten, mit T-Griffstiel, 900 mm";"5120T22842";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Aufbewahrungsbehältnis, Bordausstattung über 3,5 t.";"5140T22969";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Verbindungsleitung für Fremdstrom, D 35, VDA 72593 (Nato-Polklemmen)";"6150T00011";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Verbindungsleitung für Fremdstrom, D 35, VDA 72593 (Polklemmen-Polklemmen)";"6150T00037";"---------------";"--------------------";"A"
